,genre
tt0307453,"['action', 'animation', 'comedy', 'family']"
tt0130623,"['animation', 'family', 'adventure']"
tt0094862,['horror']
tt0119190,"['adventure', 'comedy', 'romance', 'family']"
tt0377092,"['comedy', 'drama']"
tt0120762,"['adventure', 'animation', 'family', 'musical']"
tt0046183,"['adventure', 'animation', 'fantasy', 'family', 'musical']"
tt0240462,"['comedy', 'fantasy', 'romance', 'family']"
tt0230011,"['adventure', 'animation', 'science-fiction', 'family']"
tt0053285,"['animation', 'fantasy', 'romance', 'family']"
tt0032910,"['animation', 'family', 'fantasy']"
tt0240684,"['animation', 'family', 'adventure', 'comedy']"
tt0475293,"['comedy', 'drama', 'music', 'musical', 'romance', 'family']"
tt0239395,"['comedy', 'family']"
tt0243585,"['adventure', 'animation', 'comedy', 'family']"
tt0061369,"['adventure', 'animation', 'comedy', 'family']"
tt0076538,"['animation', 'comedy', 'fantasy', 'family']"
tt0368933,"['comedy', 'drama', 'romance', 'family']"
tt0100477,"['adventure', 'animation', 'fantasy', 'family']"
tt0077276,['comedy']
tt0099253,"['horror', 'thriller']"
tt0103956,"['horror', 'thriller']"
tt0042332,"['animation', 'fantasy', 'romance', 'family', 'musical']"
tt0115491,"['animation', 'family', 'adventure', 'musical']"
tt0387575,"['horror', 'comedy']"
tt0396752,"['comedy', 'fantasy', 'family']"
tt0076618,"['adventure', 'animation', 'fantasy', 'family']"
tt0814314,['drama']
tt0033563,"['animation', 'family', 'musical']"
tt0275847,"['animation', 'family']"
tt0421729,"['comedy', 'crime']"
tt0050781,"['drama', 'history', 'horror']"
tt0096842,"['adventure', 'animation', 'comedy', 'family']"
tt0795421,"['comedy', 'romance', 'musical']"
tt0101605,"['drama', 'music', 'comedy']"
tt0115433,"['comedy', 'family']"
tt0108500,"['comedy', 'fantasy']"
tt0120917,"['adventure', 'animation', 'comedy', 'fantasy', 'family']"
tt0339291,"['adventure', 'comedy', 'family']"
tt0103786,"['comedy', 'family']"
tt0304415,"['drama', 'history', 'romance']"
tt0070608,"['animation', 'family']"
tt0962726,"['comedy', 'drama', 'music', 'romance', 'family', 'musical']"
tt0090357,"['adventure', 'mystery']"
tt0144120,"['horror', 'comedy', 'romance']"
tt0119282,"['adventure', 'animation', 'comedy', 'fantasy', 'romance', 'family', 'musical']"
tt0107438,"['comedy', 'family', 'romance']"
tt0043274,[]
tt0467200,"['drama', 'romance', 'history']"
tt0055254,"['animation', 'adventure', 'comedy', 'family']"
tt0095776,"['animation', 'comedy', 'family', 'musical']"
tt0279967,"['action', 'animation', 'comedy', 'family', 'musical']"
tt0066817,"['adventure', 'comedy', 'fantasy', 'music', 'family', 'animation']"
tt0876563,"['family', 'anime', 'fantasy']"
tt0926084,"['adventure', 'fantasy']"
tt1201607,"['adventure', 'fantasy']"
tt0257778,"['animation', 'family', 'comedy']"
tt0095327,"['war', 'drama', 'anime']"
tt0096454,"['comedy', 'crime']"
tt0864761,"['drama', 'history', 'romance']"
tt0802948,"['drama', 'crime', 'horror']"
tt0473829,['comedy']
tt0397892,"['adventure', 'animation', 'comedy', 'family']"
tt0104254,"['animation', 'fantasy', 'family', 'adventure', 'musical']"
tt0810900,"['comedy', 'drama', 'music', 'family', 'musical', 'romance']"
tt0324941,"['family', 'adventure', 'comedy', 'animation']"
tt0313680,"['animation', 'family']"
tt0143808,"['adventure', 'animation', 'romance', 'family']"
tt1024255,"['comedy', 'drama', 'romance']"
tt0291082,"['animation', 'fantasy', 'romance', 'family', 'musical']"
tt1049413,"['adventure', 'animation', 'comedy', 'family']"
tt0067108,"['comedy', 'history']"
tt0165982,"['animation', 'adventure', 'family', 'comedy', 'fantasy', 'action']"
tt0914798,"['drama', 'war', 'history']"
tt0460791,"['adventure', 'drama', 'fantasy']"
tt0283426,"['animation', 'adventure', 'family', 'musical']"
tt1016290,"['action', 'adventure', 'comedy', 'crime']"
tt0059742,"['drama', 'music', 'romance', 'family', 'musical']"
tt0454776,['drama']
tt0830558,"['crime', 'drama', 'horror', 'thriller']"
tt0347618,"['adventure', 'drama', 'fantasy', 'family', 'anime']"
